c,trun,f,value,scenario
ksa,2015,HFO,390.5919,A
ksa,2015,diesel,451.5337242,A
ksa,2015,NG,1250.51076156,A
ksa,2015,Arablight,1447.5689306011434,A
ksa,2016,HFO,624.94704,A
ksa,2016,diesel,397.349677296,A
ksa,2016,NG,1375.561837716,A
ksa,2016,Arablight,1363.2265429306306,A
ksa,2017,HFO,898.3613699999999,A
ksa,2017,diesel,370.25765384400006,A
ksa,2017,NG,1451.7552292015348,A
ksa,2017,Arablight,937.1815838218831,A
ksa,2018,HFO,1015.5389399999999,A
ksa,2018,diesel,343.165630392,A
ksa,2018,NG,1550.7823877634507,A
ksa,2018,Arablight,834.0287851626106,A
ksa,2019,HFO,1171.7757,A
ksa,2019,diesel,269.41635741179635,A
ksa,2019,NG,1605.3615265698681,A
ksa,2019,Arablight,878.2190437288352,A
ksa,2020,HFO,1210.8348899999999,A
ksa,2020,diesel,284.54566870798357,A
ksa,2020,NG,1737.104994773985,A
ksa,2020,Arablight,591.5411427572847,A
ksa,2021,HFO,1249.89408,A
ksa,2021,diesel,257.1696360359998,A
ksa,2021,NG,1809.295794945503,A
ksa,2021,Arablight,507.5644942133912,A
ksa,2022,HFO,1288.9532699999995,A
ksa,2022,diesel,230.5658805839992,A
ksa,2022,NG,1899.0330738924065,A
ksa,2022,Arablight,491.3182977772438,A
ksa,2023,HFO,1288.9532699999997,A
ksa,2023,diesel,203.962125132,A
ksa,2023,NG,2006.5985424982134,A
ksa,2023,Arablight,623.8182680917482,A
ksa,2024,HFO,1288.95327,A
ksa,2024,diesel,177.3583696800002,A
ksa,2024,NG,2096.617531554386,A
ksa,2024,Arablight,862.6079162006953,A
ksa,2025,HFO,1288.95327,A
ksa,2025,diesel,150.75461422800007,A
ksa,2025,NG,2186.6365203809855,A
ksa,2025,Arablight,1089.275049130344,A
ksa,2026,HFO,1288.9532699999997,A
ksa,2026,diesel,124.150858776,A
ksa,2026,NG,2276.655509306616,A
ksa,2026,Arablight,1368.9426823308422,A
ksa,2027,HFO,1328.01246,A
ksa,2027,diesel,97.54710332399999,A
ksa,2027,NG,2366.3927882415387,A
ksa,2027,Arablight,1600.1919164953915,A
ksa,2028,HFO,1367.0716500000003,A
ksa,2028,diesel,70.94334787199796,A
ksa,2028,NG,2456.1300671781646,A
ksa,2028,Arablight,1688.7752363442014,A
ksa,2029,HFO,1406.1308399999998,A
ksa,2029,diesel,44.33959242000004,A
ksa,2029,NG,2545.8673461138897,A
ksa,2029,Arablight,1759.594183923046,A
ksa,2030,HFO,1445.1900300000002,A
ksa,2030,diesel,17.735836968000093,A
ksa,2030,NG,2725.6191012059976,A
ksa,2030,Arablight,1751.6819747140553,A
uae,2015,NG,1137.5190043479602,A
uae,2016,NG,1183.7434571153142,A
uae,2017,NG,1245.5594567236342,A
uae,2018,NG,1301.6718033038892,A
uae,2019,NG,1333.7350126132237,A
uae,2020,NG,1391.3082493093261,A
uae,2021,NG,1090.2920144342665,A
uae,2022,NG,1041.5564360701978,A
uae,2022,Coal,103.4851573490486,A
uae,2023,NG,1077.9405381982301,A
uae,2023,Coal,102.53549397013612,A
uae,2024,NG,1006.6438461530536,A
uae,2024,Coal,258.36882583079944,A
uae,2025,NG,1046.1309880681972,A
uae,2025,Coal,255.15362862401952,A
uae,2026,NG,1082.051741526598,A
uae,2026,Coal,253.7487292220818,A
uae,2027,NG,1127.8152563862907,A
uae,2027,Coal,263.8882036047812,A
uae,2028,NG,1174.691593523812,A
uae,2028,Coal,263.2468310364627,A
uae,2029,NG,1222.5258207191343,A
uae,2029,Coal,266.4146776308513,A
uae,2030,NG,1274.5144293318244,A
uae,2030,Coal,265.7921879796541,A
qat,2015,NG,351.1149814105679,A
qat,2016,NG,376.7647288962918,A
qat,2017,NG,383.9953291320822,A
qat,2018,NG,411.1187483676706,A
qat,2019,NG,433.80496717848825,A
qat,2020,NG,444.8743749860285,A
qat,2021,NG,457.2608728650287,A
qat,2022,NG,466.18995828158336,A
qat,2023,NG,478.69067786475955,A
qat,2024,NG,491.1983511569399,A
qat,2025,NG,503.7370519541036,A
qat,2026,NG,516.4715042210182,A
qat,2027,NG,531.5215326965665,A
qat,2028,NG,547.577963917517,A
qat,2029,NG,566.2221832912642,A
qat,2030,NG,585.4778157290452,A
kuw,2015,HFO,157.6,A
kuw,2015,diesel,53.353594845090825,A
kuw,2015,NG,400.0,A
kuw,2015,Arablight,27.15,A
kuw,2016,HFO,163.904,A
kuw,2016,diesel,43.67911755329341,A
kuw,2016,NG,440.00000000000006,A
kuw,2016,Arablight,28.236,A
kuw,2017,HFO,157.6,A
kuw,2017,diesel,45.42430036762357,A
kuw,2017,NG,480.0,A
kuw,2017,Arablight,27.15,A
kuw,2018,HFO,160.752,A
kuw,2018,diesel,78.69164679307652,A
kuw,2018,NG,480.0,A
kuw,2018,Arablight,27.692999999999998,A
kuw,2019,HFO,162.328,A
kuw,2019,diesel,80.42777436953808,A
kuw,2019,NG,520.0,A
kuw,2019,Arablight,27.9645,A
kuw,2020,HFO,165.48,A
kuw,2020,diesel,123.45806064892437,A
kuw,2020,NG,520.0,A
kuw,2020,Arablight,28.5075,A
kuw,2021,HFO,129.79177598689947,A
kuw,2021,NG,560.0,A
kuw,2022,HFO,150.50691198422237,A
kuw,2022,NG,560.0,A
kuw,2023,HFO,151.24422977432474,A
kuw,2023,NG,600.0,A
kuw,2024,HFO,141.49478892886395,A
kuw,2024,NG,640.0,A
kuw,2025,HFO,166.3526837277763,A
kuw,2025,NG,640.0,A
kuw,2026,HFO,151.210578699572,A
kuw,2026,NG,680.0,A
kuw,2027,HFO,179.61960160304105,A
kuw,2027,NG,680.0,A
kuw,2028,HFO,168.71747465151876,A
kuw,2028,NG,720.0,A
kuw,2029,HFO,201.6575254331639,A
kuw,2029,NG,720.0,A
kuw,2030,HFO,195.70059175211952,A
kuw,2030,NG,760.0,A
bah,2015,NG,128.72424337809395,A
bah,2016,NG,137.30862359009438,A
bah,2017,NG,143.03452190963108,A
bah,2018,NG,148.76042022916786,A
bah,2019,NG,155.98122756868838,A
bah,2020,NG,161.8101736918254,A
bah,2021,NG,169.16946819425684,A
bah,2022,NG,176.60053248134034,A
bah,2023,NG,185.5351391802901,A
bah,2024,NG,192.98374268664708,A
bah,2025,NG,201.92360497694088,A
bah,2026,NG,209.4094941167898,A
bah,2027,NG,218.57229455742785,A
bah,2028,NG,227.03255052561474,A
bah,2029,NG,233.079330893037,A
bah,2030,NG,240.13390798836792,A
omn,2015,NG,281.7467875703302,A
omn,2016,NG,299.50930375081975,A
omn,2017,NG,308.74528164247124,A
omn,2018,NG,320.5869590961301,A
omn,2019,NG,335.38905591319997,A
omn,2020,NG,290.4944583210703,A
omn,2021,NG,303.7683028313519,A
omn,2022,NG,310.6488015359754,A
omn,2023,NG,317.6267308203871,A
omn,2024,NG,330.90057533067403,A
omn,2025,NG,346.8291887430151,A
omn,2026,NG,360.1030332532995,A
omn,2027,NG,376.0316466656445,A
omn,2028,NG,394.61502898004426,A
omn,2029,NG,410.5436423923866,A
omn,2030,NG,429.26641801622395,A
ksa,2015,HFO,390.5919,B
ksa,2015,diesel,451.5337242,B
ksa,2015,NG,1250.51076156,B
ksa,2015,Arablight,1447.5689306011434,B
ksa,2016,HFO,624.94704,B
ksa,2016,diesel,397.349677296,B
ksa,2016,NG,1375.561837716,B
ksa,2016,Arablight,1363.2265429306306,B
